"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Cholesterol (mg)","Sodium (mg)"
"09/22/2013","Nectarines, Med, Fresh","Breakfast","1.0","Each","62","0.45","1.51","14.98","0","0"
"09/22/2013","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","18.94"
"09/22/2013","Bacon, Cooked","Breakfast","4.5","Pieces","195","15.4","13.33","0.51","39.60","831.60"
"09/22/2013","Egg, Fried, Whole, Large","Breakfast","1.0","Each","90","7.4","6.27","0.41","210.22","93.84"
"09/22/2013","Sourdough Wheat Bread","Breakfast","1.0","Serving","90","0.50","4","17","0","120"
"09/22/2013","Brainwash Bacon Blue Burger","Lunch","1.0","Serving","892","60.92","74.1","7.52","237.18","1352.2"
"09/22/2013","French Fries","Lunch","1.0","Each","400","18","7","54","0","245"
"09/22/2013","Milkshake, Banana","Lunch","1.0","Each","635","31","15","78","132","263"
"09/22/2013","Soybeans, Edamame, Ckd","Dinner","0.25","Cup","63","2.88","5.56","4.97","0","6.30"
"09/22/2013","Spinach, Chopped","Dinner","2.0","Cups","40","0","4","4","0","220"
"09/22/2013","Meatballs, w/ Beef & Pork, 1 Oz","Dinner","2.0","Pieces","196","13.64","15.1","2.35","81.34","125.41"
"09/22/2013","Eggplant, Whole","Dinner","0.25","Each","27","0.22","1.16","6.53","0","2.29"
"09/22/2013","Vinegar, Balsamic","Dinner","1.0","Tablespoon","14","0","0.8","2.72","0","3.68"
"09/22/2013","Sushi, Nigiri, Fresh Salmon","Dinner","3.0","Each","204","3","15","27","24","87"
"09/22/2013","Sushi, California Roll Plus","Dinner","4.0","Each","247","5","7","43.80","0","423.50"
"09/22/2013","Strawberries, Whole","Snacks","1.0","Cup","46","0.43","0.96","11.6","0","1.44"
"09/21/2013","Bagel, Sesame Dip'd","Breakfast","1.0","Each","280","3","10","56","0","460"
"09/21/2013","Egg, Fried, Whole, Large","Breakfast","2.0","Each","180","14.9","12.53","0.83","420.44","187.68"
"09/21/2013","Cheese, Cheddar, Slice","Breakfast","1.0","Each","113","9.28","6.97","0.36","29.40","173.88"
"09/21/2013","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","18.94"
"09/21/2013","Donut, Glazed","Lunch","1.75","Each","455","24.50","5.25","54.25","0","577.50"
"09/21/2013","Apple Fritter","Lunch","0.25","Each","103","4.25","1.50","15","0","95"
