"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Cholesterol (mg)","Sodium (mg)"
"06/02/2013","Sandwich, Lox & Bagels","Breakfast","1.0","Each","520","21","25","66","50","980"
"06/02/2013","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","18.94"
"06/02/2013","Margarita, Italian","Lunch","1.0","Each","240","0","n/a","32","n/a","10"
"06/02/2013","Roll, Dinner, Plain, Large","Lunch","2.0","Each","267","5.56","9.34","44.75","3.44","460.96"
"06/02/2013","Oysters, Eastern, Wild","Lunch","2.0","Each","19","0.69","1.97","1.9","14.84","59.8"
"06/02/2013","Lobster, Maine, Cooked","Lunch","2.0","Ounces","56","0.33","11.62","0.73","40.82","215.46"
"06/02/2013","Egg, Hard Boiled, Whole, Large","Lunch","0.25","Each","19","1.33","1.57","0.14","53","15.50"
"06/02/2013","Fish, European Anchovies, In Oil","Lunch","0.5","Each","4","0.19","0.58","0","1.70","73.36"
"06/02/2013","Dessert, Egg Custard, Homemade","Lunch","1.0","Teaspoon","6","0.27","0.29","0.63","4.93","3.58"
"06/02/2013","Meal, Pulled Pork, w/ Barbecue Sauce","Lunch","2.0","Ounces","90","2.50","8","10","25","510"
"06/02/2013","Chicken, Fried, Breast or Wing, Fast Food","Dinner","1.0","Piece","247","14.76","17.86","9.79","74.17","487.37"
"06/02/2013","Biscuit","Dinner","1.0","Each","186","8.41","3.16","24.73","0.51","536.52"
"06/02/2013","Cole Slaw, Fast Food","Dinner","0.333","Cup","67","4.36","0.42","6.55","1.76","89.23"
"06/02/2013","Macaroni & Cheese","Dinner","0.333","Cup","80","3.33","2.100","9.32","4.100","249.75"
"06/02/2013","Corn, Yellow, Sweet, Kernels","Dinner","0.333","Cup","44","0.69","1.68","9.59","0","7.69"
"06/02/2013","Chicken, Fried, Drumstick or Thigh, Fast Food","Dinner","1.0","Piece","215","13.35","15.4","7.85","82.88","377.40"
"06/02/2013","Coffee, Caffe Latte","Snacks","0.5","Each","125","7","7","10.50","20","90"
"06/02/2013","Danish, Almond, Large","Snacks","0.25","Each","70","4.9","1.15","7.43","7.47","58.99"
"06/02/2013","Apple, Large","Snacks","2.0","Each","232","0.76","1.16","61.59","0","4.46"
