"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Cholesterol (mg)","Sodium (mg)"
"05/16/2014","Greek Yogurt (non fat)","Lunch","4.0","Cups","480","0","88","36","60","320"
"05/16/2014","Blackberries","Lunch","2.0","Cups","124","1.41","4","27.68","0","2.88"
"05/16/2014","Beer","Dinner","12.0","Fluid ounces","153","0","1.64","12.64","0","14.24"
"05/16/2014","Brainwash Bacon Blue Burger","Dinner","1.0","Serving","892","60.92","74.1","7.52","237.18","1352.2"
"05/16/2014","French Fries","Dinner","1.0","Each","400","18","7","54","0","245"
"05/16/2014","Ketchup","Dinner","0.25","Cup","58","0.19","1.4","15.9","0","668.40"
"05/16/2014","Mustard, Yellow, Prepared","Dinner","0.25","Cup","40","2.41","2.62","3.20","0","681"
"05/16/2014","Oil, Olive, Extra Virgin","Dinner","1.0","Tablespoon","120","14","0","0","0","0"
"05/16/2014","Bread, French Baguette","Dinner","2.0","Ounces","136","0.40","5","28","0","304"
"05/16/2014","Strawberries, Whole","Snacks","2.0","Cups","92","0.86","1.93","22.12","0","2.88"
"05/16/2014","Soymilk Vanilla Organic","Snacks","1.0","Cup","100","3.50","7","9","n/a","95"
"05/16/2014","Banana, Medium, 7 - 7 7/8 Long","Snacks","1.0","Each","105","0.39","1.29","26.95","0","1.18"
"05/16/2014","Fruit Salad, In Water, Canned","Snacks","1.0","Cup","74","0.17","0.86","19.28","0","7.35"
"05/16/2014","Grapes, Red European","Snacks","1.5","Cups","156","0.36","1.63","41","0","4.53"
"05/16/2014","Blueberries","Snacks","1.0","Cup","84","0.49","1.10","21.45","0","1.48"
"05/15/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","18.94"
"05/15/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","211.50","70"
"05/15/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","200"
"05/15/2014","Bread, Homestyle Cracked Wheat","Breakfast","1.0","Slice","80","1","3","16","0","160"
"05/15/2014","Sauce, Chili, Hot","Breakfast","1.0","Teaspoon","5","0","0","1","0","60"
"05/15/2014","Greek Yogurt (non fat)","Lunch","4.0","Cups","480","0","88","36","60","320"
"05/15/2014","Blackberries","Lunch","2.0","Cups","124","1.41","4","27.68","0","2.88"
"05/15/2014","Couscous, Whole Wheat, Organic","Dinner","0.5","Cup","333","1.52","12.12","66.67","0","7.58"
"05/15/2014","Chicken, Stock, Real","Dinner","1.0","Cup","19","0","3","1","0","500"
"05/15/2014","Oil, Olive, Extra Virgin","Dinner","0.5","Tablespoon","60","7","0","0","0","0"
"05/15/2014","Nuts, Almonds, Whole, Blanched","Dinner","0.125","Cup","105","9.11","3.95","3.59","0","5.4"
"05/15/2014","Turkey, Breast, Peppered","Dinner","24.0","Ounces","600","6","144","0","300","5400"
"05/15/2014","Raisins, Natural, Calif","Dinner","0.125","Cup","65","0","0.50","15.50","0","5"
"05/15/2014","Strawberries, Whole","Snacks","1.5","Cups","69","0.65","1.45","16.59","0","2.16"
"05/15/2014","Beef, Jerky, Teriyaki","Snacks","3.0","Ounces","240","3","42","15","60","1800"
"05/15/2014","Strawberries, Whole","Snacks","1.5","Cups","69","0.65","1.45","16.59","0","2.16"
"05/15/2014","Soymilk Vanilla Organic","Snacks","1.0","Cup","100","3.50","7","9","n/a","95"
"05/15/2014","Crunchy Peanut Butter Bar","Snacks","1.0","Package","240","6","11","40","0","240"
"05/15/2014","Ginger Chew","Snacks","3.0","Pieces","60","0","0","15","0","0"
"05/15/2014","Cupcake, Vanilla, Mini, w/ Van Buttercreme","Snacks","1.0","Each","103","6.33","0.67","10.67","11.67","66.67"
"05/15/2014","Vodka, 80 Proof","Snacks","0.5","Fluid ounce","32","0","0","0","0","0.14"
"05/15/2014","Milk, 1%, w/ Vitamin A & D","Snacks","1.0","Cup","102","2.37","8.22","12.18","12.20","107.36"
"05/15/2014","Very Cherry Berry Blend","Snacks","1.0","Cup","90","0","1","22","0","5"
"05/15/2014","Milk, 1%, w/ Vitamin A & D","Snacks","1.0","Cup","102","2.37","8.22","12.18","12.20","107.36"
"05/14/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","18.94"
"05/14/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","211.50","70"
"05/14/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","200"
"05/14/2014","Bread, Homestyle Cracked Wheat","Breakfast","1.0","Slice","80","1","3","16","0","160"
"05/14/2014","Sauce, Chili, Hot","Breakfast","1.0","Teaspoon","5","0","0","1","0","60"
"05/14/2014","Tortilla, Corn","Lunch","4.0","Each","209","2.74","5.47","42.85","0","43.20"
"05/14/2014","Chicken, Breast, Grilled","Lunch","4.0","Ounces","124","4","22","0","65","186.67"
"05/14/2014","Beef, Carne Asada, Steaks, w/ Lime Juice & Seasonings","Lunch","4.0","Ounces","107","4","17.33","1.33","46.67","333.33"
"05/14/2014","Pico De Gallo","Lunch","0.125","Cup","10","0","0","3","0","150"
"05/14/2014","Salsa, Mango, Med, Organic","Lunch","0.125","Cup","15","0","0","3","0","95"
"05/14/2014","Beer","Dinner","16.0","Fluid ounces","204","0","2.18","16.85","0","18.99"
"05/14/2014","Cheese, Gruyere, Cube","Dinner","3.0","Ounces","351","27.51","25.35","0.31","93.56","285.77"
"05/14/2014","Wine, White","Dinner","3.0","Fluid ounces","72","0","0.6","2.29","0","4.41"
"05/14/2014","Bread, French Baguette","Dinner","2.0","Ounces","136","0.40","5","28","0","304"
"05/14/2014","Potatoes, Red, Baby, Cooked","Dinner","0.5","Cup","76","0.13","1.96","16.65","0","10.20"
"05/14/2014","Apple, Large","Dinner","0.5","Each","58","0.19","0.29","15.40","0","1.12"
"05/14/2014","Cheese, Goat, Semi Soft","Dinner","0.5","Ounce","52","4.23","3.6","0.36","11.20","73"
"05/14/2014","Dressing, Balsamic Vinaigrette","Dinner","2.0","Tablespoons","100","11","0","2","0","60"
"05/14/2014","Beets, Slices","Dinner","0.5","Cup","29","0.12","1.9","6.50","0","53.4"
