"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Cholesterol (mg)","Sodium (mg)"
"12/15/2013","McMuffin, Sausage & Egg","Breakfast","1.0","Each","450","27","21","32","285","890"
"12/15/2013","Hash Browns","Breakfast","1.5","Each","208","13.9","1.80","20.91","0","435.66"
"12/15/2013","Coffee, Med","Breakfast","1.0","Each","0","0","0","0","0","0"
"12/15/2013","Turkey, Light Meat, Skinless, Cooked","Lunch","6.0","Ounces","267","5.48","50.86","0","117.37","108.86"
"12/15/2013","Stuffing, From Mix","Lunch","0.75","Cup","266","12.90","4.80","32.55","0","814.50"
"12/15/2013","Artichoke, Hearts, California Style, Marinated","Dinner","0.25","Cup","75","6.76","1.50","3","0","315.32"
"12/15/2013","Salad Dressing, Ranch","Dinner","1.0","Teaspoon","25","2.60","0.7","0.22","1.35","47.85"
"12/15/2013","Beer","Dinner","16.0","Fluid ounces","204","0","2.18","16.85","0","18.99"
"12/15/2013","Blueberry, Pie","Dinner","1.0","Piece","290","12.50","2.25","43.63","0","406.25"
"12/15/2013","Ice Cream, Vanilla","Dinner","0.5","Cup","137","7.26","2.31","15.58","29.4","52.80"
"12/15/2013","Sourdough, French Boule","Dinner","1.0","Ounce","75","0.50","2.50","15","n/a","150"
"12/15/2013","Butter, Unsalted","Dinner","0.5","Tablespoon","51","5.76","0.6","0","15.27","0.78"
"12/15/2013","Fish Fillet, Breaded Fried","Dinner","6.0","Ounces","395","20.91","24.94","28.87","57.83","904.93"
"12/15/2013","French Fries","Dinner","1.0","Each","400","18","7","54","0","245"
"12/15/2013","Sauce, Tartar","Dinner","0.125","Cup","80","7","0","4","5","330"
"12/15/2013","Candy, Chocolate, European, Assortment","Snacks","1.0","Piece","75","5","1","6.25","1.25","7.50"
"12/15/2013","Dark Chocolate covered Espresso Beans ","Snacks","0.5","Cup","440","26","6","44","10","0"
"12/15/2013","Rainbows End Trail Mix","Snacks","22.333","Tablespoons","837","50.25","22.33","89.33","0","27.92"
"12/15/2013","Chips, Tortilla, White Corn","Snacks","20.0","Pieces","200","10","2.86","21.43","0","114.28"
"12/15/2013","Mediterranean Hummus","Snacks","8.0","Tablespoons","280","16","12","24","0","320"
"12/15/2013","Milk, Whole, 3.25%","Snacks","1.0","Cup","149","7.93","7.69","11.71","24.40","104.92"
"12/14/2013","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","200"
"12/14/2013","Egg, Large","Breakfast","0.5","Each","36","2.48","3.14","0.20","105.75","35"
"12/14/2013","Salsa, Chunky","Breakfast","3.0","Tablespoons","12","0","0","3","0","345.12"
"12/14/2013","Tortilla, Corn","Breakfast","1.0","Each","52","0.68","1.37","10.71","0","10.80"
"12/14/2013","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","18.94"
"12/14/2013","Lite Shredded Three Cheese Blend","Breakfast","0.25","Cup","80","4","8","1","15","135"
"12/14/2013","Chips, Tortilla, White Corn","Lunch","18.0","Pieces","180","9","2.57","19.29","0","102.86"
"12/14/2013","Guacamole, Mild","Lunch","3.0","Tablespoons","79","6.68","0.61","4.25","0","170"
"12/14/2013","Salsa, Chunky","Lunch","5.0","Tablespoons","20","0","0","5","0","575.20"
"12/14/2013","Bread Roll","Lunch","1.0","Each","90","1","3","17","0","150"
"12/14/2013","Butter, Unsalted","Lunch","0.5","Teaspoon","17","1.92","0.2","0","5.9","0.26"
"12/14/2013","Cookies, Sandwich, Chocolate, Double Stuf","Lunch","2.0","Each","140","7","1","21","0","120"
"12/14/2013","Cookies, Chocolate Chip, Chewy","Lunch","3.0","Pieces","180","9","1.50","27","0","120"
"12/14/2013","Beer","Lunch","12.0","Fluid ounces","153","0","1.64","12.64","0","14.24"
"12/14/2013","Beer","Lunch","12.0","Fluid ounces","153","0","1.64","12.64","0","14.24"
"12/14/2013","Pork, Carnitas, w/ Citrus Garlic & Seasonings","Lunch","2.0","Ounces","93","6","8.67","1.33","30","280"
"12/14/2013","Beer","Lunch","4.0","Fluid ounces","51","0","0.55","4.21","0","4.75"
"12/14/2013","Beer","Lunch","12.0","Fluid ounces","153","0","1.64","12.64","0","14.24"
"12/14/2013","Bread, French Baguette","Lunch","1.0","Ounce","68","0.20","2.50","14","0","152"
"12/14/2013","Mashed Potatoes, Homemade w/ Whole Milk & Butter","Dinner","0.75","Cup","178","6.65","2.93","26.48","17.32","499.27"
"12/14/2013","Potatoes, Red, Baby, Cooked","Dinner","0.5","Cup","76","0.13","1.96","16.65","0","10.20"
"12/14/2013","Cole Slaw, Classic","Dinner","1.0","Cup","44","1.48","0.73","7.3","4.53","13.3"
"12/14/2013","Guacamole, Mild","Dinner","0.5","Cup","210","17.81","1.62","11.33","0","453.33"
"12/14/2013","Turkey, Light Meat, Skinless, Cooked","Dinner","8.0","Ounces","356","7.30","67.81","0","156.49","145.15"
"12/14/2013","Stuffing, From Mix","Dinner","1.0","Cup","354","17.20","6.40","43.40","0","1086"
"12/14/2013","Cookies, Sandwich","Dinner","0.5","Each","25","1.13","0.25","4","0","28.75"
"12/14/2013","Cookies, Sandwich, Chocolate, Double Stuf","Dinner","0.5","Each","35","1.75","0.25","5.25","0","30"
"12/13/2013","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","18.94"
"12/13/2013","Egg, Large","Breakfast","2.0","Each","143","9.94","12.57","0.78","423","140"
"12/13/2013","Tortilla, Corn","Breakfast","2.0","Each","105","1.37","2.74","21.43","0","21.60"
"12/13/2013","Lite Shredded Three Cheese Blend","Breakfast","0.125","Cup","40","2","4","0.50","7.50","67.50"
"12/13/2013","Guacamole, Med","Breakfast","1.0","Tablespoon","27","2.30","0.40","1.85","0","59.75"
"12/13/2013","Salsa, Chunky","Breakfast","0.125","Cup","8","0","0","2","0","230.8"
"12/13/2013","Salmon","Lunch","8.0","Ounces","380","20","48","0","140","110"
"12/13/2013","Sausage, Italian, Link","Lunch","3.0","Each","375","21.22","40.65","5.29","75.60","1436.40"
