"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Sugars (g)","Fiber (g)","Cholesterol (mg)","Sodium (mg)"
"09/28/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"09/28/2014","Sandwich, Turkey Bacon with Egg Whites, on English Muffin","Breakfast","1.0","Each","230","7","18","43","n/a","3","n/a","n/a"
"09/28/2014","Egg Muffin; Bryn; 2014/09/04","Lunch","3.0","Servings","313","18.42","21.27","15.85","2.55","1.78","546.44","391.56"
"09/28/2014","Carrots, Baby, Medium","Lunch","8.0","Each","28","0.10","0.51","6.59","3.81","2.32","0","62.40"
"09/28/2014","Sweet Potatoes, Dark Orange, 5","Lunch","1.0","Each","112","0.7","2.4","26.16","5.43","3.90","0","71.50"
"09/28/2014","Beets, Whole 2","Lunch","0.5","Each","10","0","0.25","2","1.75","0.50","0","7.50"
"09/28/2014","Carrots, Chopped","Lunch","0.5","Cup","26","0.15","0.60","6.13","3.3","1.79","0","44.16"
"09/28/2014","Salmon","Lunch","5.0","Ounces","238","12.50","30","0","0","0","87.50","68.75"
"09/28/2014","Pie, Pumpkin","Lunch","0.25","Piece","66","2.66","1.6","9.49","5.14","0.49","7.8","63.49"
"09/28/2014","Whipped Cream","Lunch","0.5","Serving","59","4.50","0","0","n/a","n/a","15","0"
"09/28/2014","Sweet Potatoes, Dark Orange, 5","Dinner","1.5","Each","168","0.10","3.6","39.23","8.15","5.85","0","107.25"
"09/28/2014","Beets, Whole 2","Dinner","0.5","Each","10","0","0.25","2","1.75","0.50","0","7.50"
"09/28/2014","Carrots, Chopped","Dinner","0.5","Cup","26","0.15","0.60","6.13","3.3","1.79","0","44.16"
"09/28/2014","Salmon","Dinner","3.0","Ounces","143","7.50","18","0","0","0","52.50","41.25"
"09/28/2014","Beer","Snacks","12.0","Fluid ounces","153","0","1.64","12.64","0","0","0","14.24"
"09/27/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","0","200"
"09/27/2014","Milk, 2%, w/ Vitamin A & D","Breakfast","1.0","Tablespoon","8","0.30","0.50","0.73","0.77","0","1.22","7.17"
"09/27/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","0","211.50","70"
"09/27/2014","Bread Whole Wheat Sprouted","Breakfast","1.0","Serving","90","0.50","5","19","2","5","0","160"
"09/27/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"09/27/2014","Pizza; 2014/09/22","Lunch","5.0","Servings","566","18.59","32.19","67.19","4.6","2.19","37.50","1715.62"
"09/27/2014","Chicken, Wing, w/ Skin, Cooked","Lunch","4.0","Each","394","26.47","36.53","0","0","0","114.24","111.52"
"09/27/2014","Butter, Salted","Lunch","0.5","Tablespoon","51","5.76","0.6","0","0","0","15.27","40.90"
"09/27/2014","Sauce, Chili, Hot","Lunch","1.0","Tablespoon","15","0","0","3","3","0","0","180"
"09/27/2014","Chicken, Rotisserie, Half","Dinner","1.0","Each","610","29","89","1","1","0","405","1860"
"09/27/2014","Vegetable Medley","Dinner","2.0","Cups","50","0","4","9.94","6","4","0","80"
"09/27/2014","Donut, Chocolate Frosted","Snacks","0.5","Each","135","7.50","1.50","15.50","6.50","0.50","0","170"
"09/27/2014","Grapes, Red European","Snacks","3.0","Cups","313","0.72","3.26","81.99","70.12","4.8","0","9.6"
"09/27/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"09/27/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"09/27/2014","Apple, Large","Snacks","1.0","Each","116","0.38","0.58","30.80","23.17","5.35","0","2.23"
"09/26/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","0","200"
"09/26/2014","Milk, 2%, w/ Vitamin A & D","Breakfast","1.0","Tablespoon","8","0.30","0.50","0.73","0.77","0","1.22","7.17"
"09/26/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","0","211.50","70"
"09/26/2014","Bread Whole Wheat Sprouted","Breakfast","1.0","Serving","90","0.50","5","19","2","5","0","160"
"09/26/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"09/26/2014","Pork Chop; Bone-in; Frenched","Lunch","9.0","Ounces","495","31.50","51.75","0","0","0","168.75","146.25"
"09/26/2014","Apricot, Preserves, Organic, Reduced Sugar","Lunch","1.0","Tablespoon","30","0","0","7","7","0","0","0"
"09/26/2014","Mustard, Yellow, Prepared","Lunch","0.5","Tablespoon","5","0.30","0.33","0.40","0.6","0.25","0","85.13"
"09/26/2014","Zucchini","Lunch","2.0","Cups","40","0","2.67","8","5.33","2.67","0","13.33"
"09/26/2014","Whiskey, 80 Proof","Dinner","2.0","Fluid ounces","128","0","0","0","0","0","0","0.56"
"09/26/2014","Apple, Medium","Dinner","1.0","Each","95","0.31","0.47","25.13","18.91","4.37","0","1.82"
"09/26/2014","Ice Cream, Vanilla","Dinner","1.0","Cup","273","14.52","4.62","31.15","28.1","0.92","58.8","105.60"
"09/26/2014","Pasta, Shells, Cooked","Dinner","2.0","Cups","363","2.14","13.34","70.98","1.29","4.14","0","2.30"
"09/26/2014","Cheese, Ricotta, Whole Milk","Dinner","0.25","Cup","108","8.5","6.98","1.88","0.17","0","31.62","52.8"
"09/26/2014","Tomato Sauce","Dinner","0.25","Cup","20","0","1","5","1","1","0","310"
"09/26/2014","Dressing, Balsamic Vinaigrette","Dinner","1.0","Tablespoon","50","5.50","0","1","1","0","0","30"
"09/26/2014","Salad, Field Greens","Dinner","1.0","Cup","22","0.10","1.73","4.47","2.22","1.39","0","36.5"
"09/26/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"09/26/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"09/26/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"09/26/2014","Apple, Large","Snacks","1.0","Each","116","0.38","0.58","30.80","23.17","5.35","0","2.23"
"09/25/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"09/25/2014","Sandwich, Turkey Bacon with Egg Whites, on English Muffin","Breakfast","1.0","Each","230","7","18","43","n/a","3","n/a","n/a"
"09/25/2014","Skipjack Tuna In Water","Lunch","6.0","Ounces","180","1.50","42","0","0","0","60","540"
"09/25/2014","Bread Whole Wheat Sprouted","Lunch","1.0","Serving","90","0.50","5","19","2","5","0","160"
"09/25/2014","Sour Cream, Light","Lunch","1.5","Tablespoons","31","2.38","0.79","1.60","0.5","0","7.88","15.97"
"09/25/2014","Tritip","Dinner","11.0","Ounces","495","27.50","55","11","5.50","n/a","178.75","1567.50"
"09/25/2014","Fresh Rice Noodles","Dinner","6.0","Ounces","360","0","6","84","0","9","0","780"
"09/25/2014","Soy Sauce, Low Sodium","Dinner","1.5","Tablespoons","14","0.2","1.40","2.30","0.46","0.22","0","899.91"
"09/25/2014","Oil, Olive, Extra Virgin","Dinner","0.5","Tablespoon","60","7","0","0","0","0","0","0"
"09/25/2014","Peanut Butter, Creamy","Dinner","1.0","Tablespoon","94","8.6","4.1","3.13","1.48","0.96","0","73.44"
"09/25/2014","Coconut Milk, Light","Dinner","0.125","Cup","19","1.50","0","1.50","0.75","0.19","0","9.38"
"09/25/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"09/25/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"09/25/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"09/25/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"09/25/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"09/24/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","0","200"
"09/24/2014","Milk, 2%, w/ Vitamin A & D","Breakfast","1.0","Tablespoon","8","0.30","0.50","0.73","0.77","0","1.22","7.17"
"09/24/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","0","211.50","70"
"09/24/2014","Bread Whole Wheat Sprouted","Breakfast","1.0","Serving","90","0.50","5","19","2","5","0","160"
