"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Sugars (g)","Fiber (g)","Cholesterol (mg)","Sodium (mg)"
"12/14/2014","Sandwich, Turkey Bacon with Egg Whites, on English Muffin","Breakfast","1.0","Each","230","7","18","43","n/a","3","n/a","n/a"
"12/14/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"12/14/2014","Brainwash Bacon Blue Burger","Lunch","1.0","Serving","892","60.92","74.1","7.52","3.67","1.17","237.18","1352.2"
"12/14/2014","French Fries","Lunch","1.0","Each","400","18","7","54","0","2","0","245"
"12/14/2014","Ketchup","Lunch","0.25","Cup","58","0.19","1.4","15.9","13.66","0.18","0","668.40"
"12/14/2014","Mustard, Yellow, Prepared","Lunch","0.25","Cup","40","2.41","2.62","3.20","0.52","1.98","0","681"
"12/14/2014","Sushi, California Roll Plus","Dinner","8.0","Pieces","494","10","14","87.60","10","5","0","847"
"12/14/2014","Squash, Tempura Battered","Dinner","0.5","Each","75","4","0.50","8.50","0.50","0.50","0","455"
"12/14/2014","Soup, Miso","Dinner","1.0","Cup","70","2","5","9","0","3","0","721"
"12/14/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"12/14/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"12/14/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"12/14/2014","Milk, 2%, w/ Vitamin A & D","Snacks","1.0","Cup","122","4.83","8.5","11.71","12.35","0","19.52","114.68"
"12/14/2014","Sugar, Granulated","Snacks","1.5","Tablespoons","73","0","0","18.90","18.86","0","0","0.19"
"12/14/2014","Natural Unsweetened Cocoa","Snacks","9.0","Grams","23","2.25","1.50","4.50","0","1.50","0","0"
"12/13/2014","Egg, Scrambled, Large","Breakfast","3.0","Each","306","22.34","20.29","4.3","3.17","0","644.16","512.40"
"12/13/2014","Cheese, Cheddar, Shredded","Breakfast","0.25","Cup","114","9.36","7.3","0.36","0.15","0","29.66","175.43"
"12/13/2014","Sausage, Chorizo, Pork & Beef, Link","Breakfast","0.5","Each","137","11.48","7.23","0.56","0","0","26.40","370.50"
"12/13/2014","Bread, Whole Wheat","Breakfast","2.0","Slices","138","1.88","7.25","23.12","3.12","3.81","0","264.32"
"12/13/2014","Butter, Salted","Breakfast","1.0","Teaspoon","34","3.84","0.4","0","0","0","10.18","27.26"
"12/13/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"12/13/2014","Hash Browns, Homemade","Breakfast","1.0","Cup","207","9.77","2.34","27.39","1.16","2.50","0","266.76"
"12/13/2014","Donut, Chocolate Frosted","Lunch","1.0","Each","270","15","3","31","13","1","0","340"
"12/13/2014","Bread, French Baguette","Dinner","1.0","Ounce","68","0.20","2.50","14","0","0.30","0","152"
"12/13/2014","Honey, Light","Dinner","1.0","Teaspoon","21","0","0.2","5.77","5.75","0.1","0","0.28"
"12/13/2014","Cheese, Brie, Sliced","Dinner","1.0","Tablespoon","30","2.49","1.87","0.4","0.4","0","9","56.61"
"12/13/2014","Chips, Tortilla, White Corn","Dinner","6.0","Pieces","60","3","0.86","6.43","0","0.86","0","34.29"
"12/13/2014","Beer","Dinner","12.0","Fluid ounces","153","0","1.64","12.64","0","0","0","14.24"
"12/13/2014","Turkey Breast Roasted","Dinner","8.0","Ounces","373","16","48","2.67","n/a","n/a","146.67","1253.33"
"12/13/2014","Duck, Whole, Skinless, Cooked","Dinner","2.0","Ounces","114","6.35","13.31","0","0","0","50.43","36.83"
"12/13/2014","Brussels Sprouts","Dinner","2.0","Cups","76","0.53","5.95","15.75","3.87","6.69","0","44"
"12/13/2014","Bacon, Cooked","Dinner","1.0","Piece","43","3.34","2.96","0.11","0","0","8.80","184.80"
"12/13/2014","Salad Dressing, Russian","Dinner","1.0","Tablespoon","53","3.93","0.10","4.79","2.65","0.11","0","148.95"
"12/13/2014","Beer","Snacks","12.0","Fluid ounces","153","0","1.64","12.64","0","0","0","14.24"
"12/13/2014","Chips, Potato, Original","Snacks","10.0","Pieces","107","6.67","1.33","10","0.67","0.67","0","93.33"
"12/13/2014","Beer","Snacks","8.0","Fluid ounces","102","0","1.9","8.43","0","0","0","9.49"
"12/13/2014","Beer","Snacks","12.0","Fluid ounces","153","0","1.64","12.64","0","0","0","14.24"
"12/13/2014","Brownie","Snacks","1.0","Each","227","9.13","2.69","35.78","20.50","1.18","9.52","174.72"
"12/13/2014","Zucchini Bread - 1/2 slice Of Loaf; Bryn; 2014/09/04","Snacks","1.0","Serving","137","6.13","1.74","16.63","4.57","-0.3","n/a","2.23"
"12/12/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","0","200"
"12/12/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","0","211.50","70"
"12/12/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","0","18.94"
"12/12/2014","Bread Whole Wheat Sprouted","Breakfast","1.0","Serving","90","0.50","5","19","2","5","0","160"
"12/12/2014","Yogurt, Greek, Plain, Nonfat","Lunch","2.0","Cups","240","0","44","14","12","0","0","140"
"12/12/2014","Grapes, Red European","Lunch","3.0","Cups","313","0.72","3.26","81.99","70.12","4.8","0","9.6"
"12/12/2014","Yogurt, Greek, Plain, Nonfat","Dinner","2.0","Cups","240","0","44","14","12","0","0","140"
"12/12/2014","Grapes, Red European","Dinner","3.0","Cups","313","0.72","3.26","81.99","70.12","4.8","0","9.6"
"12/12/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"12/12/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0","0"
"12/12/2014","Beer","Snacks","12.0","Fluid ounces","153","0","1.64","12.64","0","0","0","14.24"
"12/12/2014","Tortilla, Flour, 10","Snacks","0.5","Each","109","2.71","2.90","17.97","0.67","1.8","0","222.60"
"12/12/2014","Risotto, Mushroom","Snacks","2.0","Tablespoons","105","0.38","2.25","23.27","0.75","n/a","0","480.48"
"12/12/2014","Mixed Drink, Martini, f/ Rec","Snacks","8.0","Fluid ounces","212","1.20","0","0.50","0","0","0","119.90"
